OurAirports_name,icao,iata,countryLabel,lat,lon,filename
Cam Ranh International Airport / Cam Ranh Air Base,VVCR,CXR,Vietnam,11.99805556,109.2194444,mapbox_11.99805556_109.2194444_1259.png
Can Tho International Airport,VVCT,VCA,Vietnam,10.08527778,105.7119444,mapbox_10.08527778_105.7119444_1260.png
Cat Bi International Airport,VVCI,HPH,Vietnam,20.81916667,106.7247222,mapbox_20.81916667_106.7247222_1261.png
Da Nang International Airport,VVDN,DAD,Vietnam,16.04388889,108.1994444,mapbox_16.04388889_108.1994444_1263.png
Noi Bai International Airport,VVNB,HAN,Vietnam,21.22111111,105.8072222,mapbox_21.22111111_105.8072222_1265.png
PhÃº Quá»_ International Airport,VVPQ,PQC,Vietnam,10.17166667,103.9911111,mapbox_10.17166667_103.9911111_1267.png
Tan Son Nhat International Airport,VVTS,SGN,Vietnam,10.8188,106.652,mapbox_10.8188_106.652_1268.png
Dakhla Airport,GMMH,VIL,Western Sahara,23.71805556,-15.93194444,mapbox_23.71805556_-15.93194444_1270.png
Laayoune Hassan I International Airport,GMML,EUN,Western Sahara,27.15166667,-13.21916667,mapbox_27.15166667_-13.21916667_1271.png
Aden International Airport,OYAA,ADE,Yemen,12.82954167,45.02879167,mapbox_12.82954167_45.02879167_1273.png
Sanaa International Airport,OYSN,SAH,Yemen,15.47638889,44.21972222,mapbox_15.47638889_44.21972222_1276.png
Harry Mwanga Nkumbula International Airport,FLHN,LVI,Zambia,-17.82166667,25.82277778,mapbox_-17.82166667_25.82277778_1278.png
Kenneth Kaunda International Airport,FLKK,LUN,Zambia,-15.33055556,28.4525,mapbox_-15.33055556_28.4525_1279.png
Mfuwe International Airport,FLMF,MFU,Zambia,-13.25861111,31.93638889,mapbox_-13.25861111_31.93638889_1280.png
Simon Mwansa Kapwepwe International Airport,FLSK,NLA,Zambia,-12.961667,28.516667,mapbox_-12.961667_28.516667_1281.png
Victoria Falls International Airport,FVFA,VFA,Zimbabwe,-18.09588056,25.83900556,mapbox_-18.09588056_25.83900556_1284.png
